battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,7.4088032404905935,40.0,1368.7485053244936,1.012499035053971,40.0,4,2
5.0,7.4088032404905935,40.0,1387.4544569454133,1.012499035053971,40.0,4,2
10.0,7.4088032404905935,40.0,1410.8368964715633,1.012499035053971,40.0,4,2
25.0,7.4088032404905935,40.0,1480.9842150500117,1.012499035053971,40.0,4,2
50.0,7.4088032404905935,40.0,1597.89641268076,1.012499035053971,40.0,4,2
100.0,7.4088032404905935,40.0,1831.7208079422558,1.012499035053971,40.0,4,2
150.0,7.4088032404905935,40.0,2065.545203203752,1.012499035053971,40.0,4,2
200.0,7.4088032404905935,40.0,2299.369598465248,1.012499035053971,40.0,4,2
300.0,6.2837591051860615,31.960686197875432,2764.0464414805156,0.858748683693103,40.0,4,2
400.0,3.854097336752612,13.095383237890887,3032.53590659301,0.5267071762871787,40.0,5,3
500.0,2.9064398031874075,5.661422840885892,3123.5971151044787,0.3971987648540712,40.0,5,3
600.0,1.9868103363109977,0.0,3133.1244189160893,0.2715207143518276,40.0,4,2
700.0,1.98681033631099,0.0,3133.124418916092,0.2715207143518265,40.0,2,2
800.0,1.9868103363109886,0.0,3133.1244189160925,0.27152071435182634,40.0,2,2
1000.0,1.9868103363109892,0.0,3133.124418916092,0.27152071435182645,40.0,2,2
1200.0,1.9868103363109877,0.0,3133.1244189160925,0.27152071435182623,40.0,2,2
1400.0,1.9868103363109917,0.0,3133.1244189160925,0.2715207143518268,40.0,2,2
1460.64,1.9868103363109888,0.0,3133.1244189160925,0.2715207143518264,40.0,2,2
1500.0,1.9868103363109932,0.0,3133.1244189160925,0.271520714351827,40.0,2,2
