battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,5.445774207834343,40.0,1166.5515261047483,0.7913287054218273,40.0,0,1
5.0,5.445774207834342,40.0,1185.2574777256677,0.7913287054218272,40.0,0,1
10.0,5.446778237128718,39.81966303259523,1208.5707772328035,0.7914746015187643,40.0,0,1
25.0,5.476947640215441,37.29450578145515,1276.3719473847113,0.7958585355154439,40.0,0,1
50.0,5.666182925647308,30.629091238992444,1376.5485777937338,0.823356427959369,40.0,0,1
100.0,6.756872092866913,4.415778998191496,1464.426037605709,0.9818451228214963,40.0,0,1
150.0,6.8818105175793,1.8249326954537037,1475.616548241203,1.0,40.0,0,1
200.0,6.8818105175793,1.8249326954537035,1486.284392838888,1.0,40.0,0,1
300.0,6.8818105175793,0.0,1487.7973176475678,1.0,40.0,0,1
400.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
500.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
600.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
700.0,6.8818105175793,0.0,1487.7973176475655,1.0,40.0,0,1
800.0,6.8818105175793,0.0,1487.7973176475662,1.0,40.0,0,1
1000.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
1022.448,6.8818105175793,0.0,1487.7973176475646,1.0,40.0,0,1
1200.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
1400.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
1500.0,6.8818105175793,0.0,1487.7973176475641,1.0,40.0,0,1
