battery_capex_kwh,pv_kw,batt_kwh,total_cost,coverage,max_battery_kwh,meter_binary_count,solver_rounds
1.0,5.445774207834345,40.0,1629.183180531561,0.7913287054218276,40.0,0,1
5.0,5.445774207834346,40.0,1647.8891321524811,0.7913287054218278,40.0,0,1
10.0,5.445774207834346,40.0,1671.2715716786308,0.7913287054218278,40.0,0,1
25.0,5.404435499102165,39.32636988937596,1740.9106944394978,0.7853217529452109,40.0,0,1
50.0,5.423686468703509,35.79278799632675,1849.1113291676697,0.7881191228454963,40.0,0,1
100.0,6.204667746463896,16.0172684188391,2020.226994693167,0.9016039791584393,40.0,0,1
150.0,6.8818105175793,1.8249326954536678,2060.242950970018,1.0,40.0,0,1
200.0,6.8818105175793,1.8249326954536962,2070.9107955677027,1.0,40.0,0,1
300.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
400.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
500.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
600.0,6.8818105175793,0.0,2072.4237203763787,1.0,40.0,0,1
700.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
800.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
1000.0,6.8818105175793,0.0,2072.4237203763805,1.0,40.0,0,1
1200.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
1400.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
1460.64,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
1500.0,6.8818105175793,0.0,2072.4237203763796,1.0,40.0,0,1
