system_to_load_kWh,batt_to_load_kWh,grid_to_load_kWh,grid_to_batt_kWh,system_to_batt_AC_kWh,system_to_batt_DC_kWh,system_to_grid_kWh,battery_soc_pct
0.0,2.1149604464373395,7.8850395535626605,0.0,0.0,0.0,0.0,33.56902078679867
0.0,2.114960446688244,7.885039553311756,0.0,0.0,0.0,0.0,15.909568062683576
0.0,0.10913608725376522,9.890863912746235,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
1.74237767301347,0.0,8.25762232698653,0.0,0.0,0.0,0.0,15.0
2.114960446332751,0.0,7.885039553667249,0.0,1.3591978101352473,1.3048298977298374,0.0,24.79825308294892
2.114960446646359,0.0,7.885039553353641,0.0,2.403130213256807,2.3070050047265345,0.0,41.48757889845422
2.1149604466873857,0.0,7.885039553312614,0.0,2.9627888229373793,2.844277270019884,0.0,61.70097525986645
2.1149604466885528,0.0,7.885039553311447,0.0,3.150148935848164,3.0241429784142375,0.0,82.99000692907013
3.252940085682482,0.0,6.747059914317518,0.0,1.7815017002038454,1.7102416321956915,0.0,95.00000214894678
4.415987733607843,0.0,5.584012266392157,0.0,0.0,0.0,0.0,95.00000214894678
3.3338777055943316,0.0,6.666122294405668,0.0,0.0,0.0,0.0,95.00000214894678
1.7025342808690351,0.41242613609947354,7.885039583031491,0.0,0.0,0.0,0.0,91.95308490400616
0.0,2.114960446688739,7.885039553311261,0.0,0.0,0.0,0.0,76.0804041083897
0.0,2.114960446689004,7.885039553310996,0.0,0.0,0.0,0.0,60.09091135814588
0.0,2.1149604466869185,7.8850395533130815,0.0,0.0,0.0,0.0,43.89791562278101
0.0,2.114960445690902,7.885039554309098,0.0,0.0,0.0,0.0,27.222842869040708
0.0,1.4562496046892701,8.54375039531073,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0
1.6697984628722888,0.0,8.330201537127712,0.0,0.0,0.0,0.0,15.0
2.1149604463820495,0.0,7.8850395536179505,0.0,1.304133296944505,1.2519679650667248,0.0,24.416200579768898
2.1149604466414598,0.0,7.88503955335854,0.0,2.391981961288863,2.2963026828373083,0.0,41.0382148635701
2.1149604466870375,0.0,7.8850395533129625,0.0,2.9644777216756015,2.8458986128085773,0.0,61.26832838601215
2.1149604466887784,0.0,7.885039553311222,0.0,3.157850633177584,3.0315366078504806,0.0,82.61277853450933
