timestamp,default.electricity.kwh,default.gas.therms,retail.imports.kwh,retail.exports.kwh,nem3.imports.kwh,nem3.exports.kwh,solarstorage.gas.therms
2017-12-31 22:00:00,0.7881089211618257,0.0355593702088659,0.4706594052558782,0.0,0.4706594052558782,0.0,0.0355593702088659
2017-12-31 23:00:00,0.6235961272475796,0.0561353931834232,0.4295968188105118,0.0,0.4295968188105118,0.0,0.0561353931834232
2018-01-01 00:00:00,0.4706594052558782,0.0646752244232845,0.4160262793914246,0.0,0.4160262793914246,0.0,0.0646752244232845
2018-01-01 01:00:00,0.4295968188105118,0.0611980075228905,0.3857444674965422,0.0,0.3857444674965422,0.0,0.0611980075228905
2018-01-01 02:00:00,0.4160262793914246,0.0718355340071134,0.3849706085753803,0.0,0.3849706085753803,0.0,0.0718355340071134
2018-01-01 03:00:00,0.3857444674965422,0.088102667632027,0.404951244813278,0.0,0.404951244813278,0.0,0.088102667632027
2018-01-01 04:00:00,0.3849706085753803,0.1022357245365297,0.4433713692946058,0.0,0.4433713692946058,0.0,0.1022357245365297
2018-01-01 05:00:00,0.404951244813278,0.1219268638241703,0.512482828719228,0.0,0.512482828719228,0.0,0.1219268638241703
2018-01-01 06:00:00,0.4433713692946058,0.1437724789144295,0.4433897459370698,0.0,0.4433897459370698,0.0,0.1437724789144295
2018-01-01 07:00:00,0.5591047717842322,0.1668533452442908,0.367403260228266,0.0,0.367403260228266,0.0,0.1668533452442908
2018-01-01 08:00:00,0.6443136237897648,0.176552600413088,0.3025863773830985,0.0,0.3025863773830985,0.0,0.176552600413088
2018-01-01 09:00:00,0.7079972337482711,0.1581353834634139,0.2504378183746568,0.0,0.2504378183746568,0.0,0.1581353834634139
2018-01-01 10:00:00,0.7516103042876902,0.1191487322559685,0.2465224884317776,0.0,0.2465224884317776,0.0,0.1191487322559685
2018-01-01 11:00:00,0.7489612724757954,0.0772428437231353,0.2974180102667889,0.0,0.2974180102667889,0.0,0.0772428437231353
2018-01-01 12:00:00,0.7416476486860303,0.0475625076830244,0.3596146692819748,0.0,0.3596146692819748,0.0,0.0475625076830244
2018-01-01 13:00:00,0.7416352005532503,0.0345584732268542,0.474742468184902,0.0,0.474742468184902,0.0,0.0345584732268542
2018-01-01 14:00:00,0.6992610650069155,0.026283868100769,0.6854265751355969,0.0,0.6854265751355969,0.0,0.026283868100769
2018-01-01 15:00:00,0.6700660442600276,0.0235291930560544,0.7972237206085754,0.0,0.7972237206085754,0.0,0.0235291930560544
2018-01-01 16:00:00,0.723960580912863,0.0234898475221129,0.9115242047026278,0.0,0.9115242047026278,0.0,0.0234898475221129
2018-01-01 17:00:00,0.7972237206085754,0.0273217725733901,1.0105518672199172,0.0,1.0105518672199172,0.0,0.0273217725733901
2018-01-01 18:00:00,0.9115242047026278,0.034234806405711,1.041605463347165,0.0,1.041605463347165,0.0,0.034234806405711
2018-01-01 19:00:00,1.0105518672199172,0.0390102495353352,0.9548049792531118,0.0,0.9548049792531118,0.0,0.0390102495353352
2018-01-01 20:00:00,1.041605463347165,0.0420222891960541,0.8145432226832642,0.0,0.8145432226832642,0.0,0.0420222891960541
2018-01-01 21:00:00,0.9548049792531118,0.0464573049157973,0.6326943291839559,0.0,0.6326943291839559,0.0,0.0464573049157973
2018-01-01 22:00:00,0.8145432226832642,0.0555091399762088,0.4704021438450899,0.0,0.4704021438450899,0.0,0.0555091399762088
2018-01-01 23:00:00,0.6326943291839559,0.0641389478392669,0.4124031811894882,0.0,0.4124031811894882,0.0,0.0641389478392669
2018-01-02 00:00:00,0.4704021438450899,0.0686529416943441,0.3932174965421853,0.0,0.3932174965421853,0.0,0.0686529416943441
2018-01-02 01:00:00,0.4124031811894882,0.07028828195252,0.3814367219917012,0.0,0.3814367219917012,0.0,0.07028828195252
2018-01-02 02:00:00,0.3932174965421853,0.0726633846547634,0.3825242047026279,0.0,0.3825242047026279,0.0,0.0726633846547634
