,Load Profile,System to Load,Battery to Load,Grid to Load,Solar + Battery to Load,Total Supply,Difference,System to Battery,Grid to Battery,Battery SOC,hour,month,day_of_year,season,tou_period,soc_bin,electricity_rate,grid_cost,battery_wear_cost
2018-01-01 00:00:00,0.8510936397199762,0.0,0.3036406940396666,0.5474529456803096,0.3036406940396666,0.8510936397199762,0.0,0.0,0.0,47.7020239660655,0,1,1,Winter,Off-Peak,40-60%,0.27,0.1478122953336836,0.05617352839733832
2018-01-01 01:00:00,1.0562796267013068,0.0,0.5088266192119619,0.5474530074893449,0.5088266192119619,1.0562796267013068,0.0,0.0,0.0,43.83324330259516,1,1,1,Winter,Off-Peak,40-60%,0.27,0.14781231202212314,0.09413292455421296
2018-01-01 02:00:00,0.9592527197351526,0.0,0.4117997602173533,0.5474529595177993,0.4117997602173533,0.9592527197351526,0.0,0.0,0.0,40.69220811045875,2,1,1,Winter,Off-Peak,40-60%,0.27,0.1478122990698058,0.07618295564021037
2018-01-01 03:00:00,0.9296650332801388,0.0,0.3822120648306419,0.5474529684494969,0.3822120648306419,0.9296650332801388,0.0,0.0,0.0,37.76581780632932,3,1,1,Winter,Off-Peak,20-40%,0.27,0.14781230148136418,0.07070923199366876
2018-01-01 04:00:00,0.9473060990231345,0.0,0.3998530922084891,0.5474530068146453,0.3998530922084891,0.9473060990231345,1.1102230246251563e-16,0.0,0.0,34.68926932556262,4,1,1,Winter,Off-Peak,20-40%,0.27,0.14781231183995422,0.07397282205857048
2018-01-01 05:00:00,1.0926293494626385,0.0,0.5451758406242118,0.5474535088384267,0.5451758406242118,1.0926293494626385,0.0,0.0,0.0,30.45681385910776,5,1,1,Winter,Off-Peak,20-40%,0.27,0.14781244738637522,0.10085753051547917
2018-01-01 06:00:00,1.19917959196172,0.0,0.6517266572303357,0.5474529347313843,0.6517266572303357,1.19917959196172,0.0,0.0,0.0,25.323387549302836,6,1,1,Winter,Off-Peak,20-40%,0.27,0.1478122923774738,0.12056943158761212
2018-01-01 07:00:00,1.3394278973913227,0.0,0.7919749625546523,0.5474529348366705,0.7919749625546523,1.3394278973913227,0.0,0.0,0.0,18.898298557829623,7,1,1,Winter,Mid-Peak,0-20%,0.37,0.20255758588956807,0.14651536807261067
2018-01-01 08:00:00,1.5248999153740912,0.9477666762807366,0.0296803041134867,0.5474529349798678,0.9774469803942234,1.5248999153740912,0.0,0.0,0.0,18.65804971410542,8,1,1,Winter,Mid-Peak,0-20%,0.37,0.20255758594255108,0.0054908562609950395
2018-01-01 09:00:00,1.7111779619855876,1.1637250272515924,0.0,0.5474529347339951,1.1637250272515924,1.7111779619855876,0.0,0.7260440363700686,0.0,23.92216518219871,9,1,1,Winter,Mid-Peak,20-40%,0.37,0.2025575858515782,0.0
2018-01-01 10:00:00,1.9357642953195728,1.3883113605874289,0.0,0.5474529347321442,1.3883113605874289,1.9357642953195728,0.0,1.0693049382173596,0.0,31.50394914349965,10,1,1,Winter,Mid-Peak,20-40%,0.37,0.20255758585089334,0.0
2018-01-01 11:00:00,2.076364035989952,1.5289111012587702,0.0,0.5474529347311816,1.5289111012587702,2.076364035989952,0.0,1.233131607849106,0.0,40.121076827374665,11,1,1,Winter,Mid-Peak,40-60%,0.37,0.2025575858505372,0.0
2018-01-01 12:00:00,1.986797538862214,1.4393446041312024,0.0,0.5474529347310118,1.4393446041312024,1.986797538862214,0.0,1.4246126750681436,0.0,49.97105812079995,12,1,1,Winter,Mid-Peak,40-60%,0.37,0.20255758585047434,0.0
2018-01-01 13:00:00,1.7461072489298397,1.1986534077110158,0.0,0.5474538412188239,1.1986534077110158,1.7461072489298397,0.0,1.5398321871405285,0.0,60.539075162108944,13,1,1,Winter,Mid-Peak,60-80%,0.37,0.20255792125096483,0.0
2018-01-01 14:00:00,1.429375710360981,0.881922442257451,0.0,0.54745326810353,0.881922442257451,1.429375710360981,0.0,1.520154949803835,0.0,70.92220268038268,14,1,1,Winter,Mid-Peak,60-80%,0.37,0.2025577091983061,0.0
2018-01-01 15:00:00,1.22874798359006,0.6812950298718035,0.0,0.5474529537182566,0.6812950298718035,1.22874798359006,0.0,1.1321684006442505,0.0,78.64346744368208,15,1,1,Winter,Mid-Peak,60-80%,0.37,0.20255759287575495,0.0
2018-01-01 16:00:00,1.0321691871138845,0.4847162497754945,0.0,0.54745293733839,0.4847162497754945,1.0321691871138845,0.0,0.4413776055495125,0.0,81.65794320289595,16,1,1,Winter,Peak,80-100%,0.47,0.25730288054904327,0.0
2018-01-01 17:00:00,0.8898038643668227,0.0,0.3423509163794618,0.5474529479873609,0.3423509163794618,0.8898038643668227,0.0,0.0,0.0,79.11566534768944,17,1,1,Winter,Peak,60-80%,0.47,0.2573028855540596,0.06333491953020043
2018-01-01 18:00:00,0.8792268582852605,0.0,0.3317739229442102,0.5474529353410502,0.3317739229442102,0.8792268582852605,0.0,0.0,0.0,76.64465238019878,18,1,1,Winter,Peak,60-80%,0.47,0.2573028796102936,0.06137817574467889
2018-01-01 19:00:00,0.9282878888658644,0.0,0.3808349524078822,0.5474529364579823,0.3808349524078822,0.9282878888658646,-1.1102230246251563e-16,0.0,0.0,73.80455273982045,19,1,1,Winter,Peak,60-80%,0.47,0.25730288013525165,0.0704544661954582
2018-01-01 20:00:00,1.0902514029530708,0.0,0.5427984563402937,0.5474529466127771,0.5427984563402937,1.0902514029530708,0.0,0.0,0.0,69.74717229692733,20,1,1,Winter,Peak,60-80%,0.47,0.25730288490800524,0.10041771442295433
2018-01-01 21:00:00,1.2247201147559996,0.0,0.6772671495967513,0.5474529651592484,0.6772671495967513,1.2247201147559996,0.0,0.0,0.0,64.67010343598473,21,1,1,Winter,Peak,60-80%,0.47,0.2573028936248467,0.12529442267539898
2018-01-01 22:00:00,1.3446368316657984,0.0,0.7971838176377746,0.5474530140280238,0.7971838176377746,1.3446368316657984,0.0,0.0,0.0,58.67183851418456,22,1,1,Winter,Off-Peak,40-60%,0.27,0.14781231378756643,0.1474790062629883
2018-01-01 23:00:00,1.339922146090912,0.0,0.7924691119796806,0.5474530341112315,0.7924691119796806,1.339922146090912,0.0,0.0,0.0,52.68566616421183,23,1,1,Winter,Off-Peak,40-60%,0.27,0.14781231921003252,0.14660678571624092
