timestamp,soc,load,solar,battery_out,grid_in,hour,tou_period,season,has_grid_purchase,has_battery_capacity,no_solar_available,battery_not_discharging,electricity_rate,actual_grid_cost,battery_alternative_cost,economic_savings_from_grid
2018-01-01 17:00:00,79.11566534768944,0.8898038643668227,0.0,0.3423509163794618,0.5474529479873609,17,Peak,Winter,True,True,True,False,0.47,0.2573028855540596,0.11253199486406863,-0.144770890689991
2018-01-01 18:00:00,76.64465238019878,0.8792268582852605,0.0,0.3317739229442102,0.5474529353410502,18,Peak,Winter,True,True,True,False,0.47,0.2573028796102936,0.1125319922645492,-0.1447708873457444
2018-01-01 19:00:00,73.80455273982045,0.9282878888658644,0.0,0.3808349524078822,0.5474529364579823,19,Peak,Winter,True,True,True,False,0.47,0.25730288013525165,0.11253199249414081,-0.14477088764111085
2018-01-01 20:00:00,69.74717229692733,1.0902514029530708,0.0,0.5427984563402937,0.5474529466127771,20,Peak,Winter,True,True,True,False,0.47,0.25730288490800524,0.11253199458151529,-0.14477089032648993
2018-01-01 21:00:00,64.67010343598473,1.2247201147559996,0.0,0.6772671495967513,0.5474529651592484,21,Peak,Winter,True,True,True,False,0.47,0.2573028936248467,0.11253199839384548,-0.14477089523100123
2018-01-02 17:00:00,75.03251041312112,1.289261894786199,0.0,0.7418088405273725,0.5474530542588264,17,Peak,Winter,True,True,True,False,0.47,0.2573029355016484,0.11253201670875876,-0.14477091879288964
2018-01-02 18:00:00,69.93243056988284,1.2294027011816486,0.0,0.6819497550860425,0.5474529460956061,18,Peak,Winter,True,True,True,False,0.47,0.25730288466493484,0.11253199447520792,-0.14477089018972691
2018-01-02 19:00:00,64.66960138759941,1.2494272205678008,0.0,0.7019742615780884,0.5474529589897124,19,Peak,Winter,True,True,True,False,0.47,0.25730289072516477,0.11253199712566309,-0.14477089359950168
2018-01-04 17:00:00,94.80061595700832,0.9410946591077112,0.0,0.0291777815573818,0.9119168775503294,17,Peak,Winter,True,True,True,False,0.47,0.42860093244865477,0.18744958038534548,-0.2411513520633093
2018-01-04 18:00:00,95.0000000000165,0.8489793357260962,0.0,0.0,0.8489793357260962,18,Peak,Winter,True,True,True,True,0.47,0.3990202877912652,0.1745124190103642,-0.22450786878090098
2018-01-04 19:00:00,95.0000000000165,0.8937969925416459,0.0,0.0,0.8937969925416459,19,Peak,Winter,True,True,True,True,0.47,0.42008458649457353,0.18372493735578277,-0.23635964913879076
2018-01-04 20:00:00,94.2802124818092,1.0095215045650854,0.0,0.0976046268743879,0.9119168776906974,20,Peak,Winter,True,True,True,False,0.47,0.4286009325146278,0.18744958041419893,-0.24115135210042885
2018-01-04 21:00:00,92.74739758163264,1.1193745329103992,0.0,0.2074576539371796,0.9119168789732196,21,Peak,Winter,True,True,True,False,0.47,0.4286009331174132,0.18744958067782846,-0.24115135243958474
2018-01-04 22:00:00,90.76991415314164,1.1790955973263526,0.0,0.2671787179571783,0.9119168793691744,22,Off-Peak,Winter,True,True,True,False,0.27,0.2462175574296771,0.1874495807592192,-0.05876797667045791
2018-01-04 23:00:00,88.89829802750269,1.1645137773873837,0.0,0.2525968992260989,0.9119168781612847,23,Off-Peak,Winter,True,True,True,False,0.27,0.2462175571035469,0.18744958051093075,-0.05876797659261615
2018-01-05 00:00:00,87.63629797179966,1.082179698243592,0.0,0.1702628206653851,0.9119168775782068,0,Off-Peak,Winter,True,True,True,False,0.27,0.24621755694611586,0.18744958039107584,-0.058767976555040013
2018-01-05 01:00:00,87.69835002631238,0.902826030106735,0.0,0.0,0.902826030106735,1,Off-Peak,Winter,True,True,True,True,0.27,0.24376302812881848,0.18558090618860662,-0.058182121940211856
2018-01-05 02:00:00,88.90001524447005,0.7356436831281712,0.0,0.0,0.7356436831281712,2,Off-Peak,Winter,True,True,True,True,0.27,0.19862379444460623,0.15121564597634632,-0.047408148468259914
2018-01-05 03:00:00,90.75382388642048,0.6395714610620583,0.0,0.0,0.6395714610620583,3,Off-Peak,Winter,True,True,True,True,0.27,0.17268429448675576,0.13146746699608977,-0.04121682749066599
2018-01-05 04:00:00,92.8004027052295,0.6107571604985408,0.0,0.0,0.6107571604985408,4,Off-Peak,Winter,True,True,True,True,0.27,0.16490443333460603,0.12554452743581115,-0.03935990589879487
2018-01-05 05:00:00,94.44653497386672,0.6693670488021689,0.0,0.0,0.6693670488021689,5,Off-Peak,Winter,True,True,True,True,0.27,0.1807291031765856,0.13759211558711248,-0.043136987589473125
2018-01-05 06:00:00,95.00000000000009,0.7135901943539487,0.0,0.0,0.7135901943539487,6,Off-Peak,Winter,True,True,True,True,0.27,0.19266935247556616,0.14668242883942278,-0.04598692363614337
